A,B
"[-0.22601118440982, 2.32594334641383, -0.92274745780396, 0.86598032865006, 0.76152906245748, 0.50273425825051, 0.8107923245033, -1.00043285782422, -0.75067518276567, 0.73054981996005, -2.31078554819745, -0.57393410892328, 1.00305268557982, -0.75155848898654, -1.00649632108424, 0.61539974038222, 1.00440323331933, -0.52681820711265]",38
"[-0.04358999766291, 2.11672223540614, -0.82976121075608, 0.89792362342438, 1.32296397703321, 0.74620010208938, 0.76377413997468, -0.49101778059644, -0.17285105071474, -0.51086304630635, 0.02058516785005, 0.16202829605456, 0.40261145815453, -1.06547108427828, -0.74217445206354, 0.32567254899222, 1.28184182167004, -0.44053476829013]",64
"[-0.23975457393172, 2.02915978760353, -1.44876256418403, 0.9876870680842, 0.78619309328274, 0.97866041355569, 0.47222637229991, -0.38512580239061, -0.32263149747384, -0.08779530779898, -1.21635333738331, -0.94021103332917, 0.45866104932969, -1.08964870539656, -1.21204616781634, 0.6587510349751, 1.06746089563027, -0.22262781153934]",80
"[-0.21065363236245, 1.95591479976963, -1.83361158964841, 0.81032496459759, 0.43777728724691, 0.87390629621053, 0.29047063146437, -0.46602755150319, -0.1151580737904, -0.1253587224539, 0.26893869035128, -0.00990663112176, 0.7186675377717, -1.01972644762861, -0.77080193690789, 0.21115198482202, 1.2883510509882, -0.44004862883503]",46
"[-0.99181168538039, 2.01276305766487, -0.99747265781416, 0.4381141614029, 0.32770394574103, 0.47728567101769, 0.1676875451128, -1.28343195630622, 0.97786130995743, 0.7450673969935, -1.4996908494072, 0.64609245662423, -0.27815497216249, -0.89526542548147, -0.47785518470507, 0.42850080326167, 0.44028410872911, -0.09951066125198]",38
"[0.01970422262397, 0.15123543902589, -1.01533387705868, -0.23178121015039, -0.23745066724496, 0.60805859681406, -0.49268453590454, -1.00548226253235, -0.27946233883742, -0.77448613603365, -2.10889893501024, 1.56569971974213, 0.00419503812004, -1.12348010964656, -0.9522760081544, 0.55583455400244, 0.83864653380749, -0.18185967557046]",44
"[0.19525180806659, 1.69459335028966, -1.66649806846842, 0.81002241296819, 0.85173467999344, 0.5411696520778, 0.07007936298002, -0.99421161515058, -0.31910695212845, 0.6680463276877, -2.23812597644464, 0.96036795294407, -0.72144327529935, -0.64084407568054, 0.23539186022293, 1.02192784937128, 0.06903232254599, -0.25481676153858]",38
"[-0.12846412864665, 2.03232325016075, -1.37013298568921, 0.78480256816381, 0.758400541197, 0.61954123241837, -0.01867680240699, -1.56075549150066, 1.03017387573668, 0.44231051396602, -1.70026601710139, 0.51742362332111, -0.11530450434583, -0.66498676041998, -0.70623255959772, 0.31433243009372, 0.50745929494628, -0.05961471340718]",68
"[-0.23973089725505, 1.87164979324514, -1.74233977839676, 0.78796168591219, 0.6547790955891, 1.13846279728922, 0.11650572527639, -0.01152289104705, -1.23878746155308, 0.93757811599052, -2.56689126110479, 0.9164074295922, 0.87248061359898, -0.69581820825019, -0.90321363337076, 0.49331390345045, 0.92386756267869, -0.44544366046073]",38
"[-0.27800659820991, 1.99970711934862, -1.49253689661002, 0.97109124114468, 0.76528418363695, 1.01498389534856, 0.29535511113029, -0.50701985418268, -0.52172415999451, -0.13223210038315, -1.30507377931955, -0.63562027354765, 1.55406701956664, 0.02469837039962, -0.04628950037501, 0.89437567834911, 1.22095962917293, -0.59524230013834]",44
