a1,a2,a3,a4,a5,a6,b1,b2,b3,b4,b5,b6,c1,c2,c3,c4,c5,c6,no
0.014331067610409897, 0.007685323331585373, 0.001015926719475367, 0.07448072228729904, 0.023028835481755012, -0.06521986042425659, 0.011938975675730195, 0.0037770251328775556, 0.0002460637575014944, 0.05128270425715552, 0.004786108321640445, 0.002635999659740503, 0.014500508495495782, 0.013939907864536359, 0.002298931863129443, 0.23894159731531978, 0.05122052752918365, 0.021501376649729575,102
0.014331066044334349, 0.0076853200580490255, 0.001015925887377013, 0.07448072297525482, 0.023028840760055, -0.0652198576239453, 0.011938978793995917, 0.0037770278777108264, 0.0002460683556556741, 0.051282710465983296, 0.0047861109162029925, 0.0026359999563507312, 0.01450050566255939, 0.013939906585184927, 0.0022989317768103393, 0.23894159893168956, 0.05122052759434978, 0.021501378115480356,102
0.01433106344319058, 0.007685322466630198, 0.0010159278046621009, 0.07448072144524681, 0.023028834845840958, -0.06521985464336287, 0.011938979516481924, 0.003777031352093845, 0.00024606435049139876, 0.05128270876851292, 0.004786105102649888, 0.0026359978317266153, 0.014500508980708954, 0.013939908990553954, 0.0022989295743764586, 0.23894160073127702, 0.05122052951077406, 0.021501375440301927,102
0.01433106552989479, 0.007685319816275337, 0.0010159256827257021, 0.07448071977413463, 0.023028838156591524, -0.06521986126412312, 0.011938975844264618, 0.003777026048466344, 0.00024606474436120375, 0.05128270772105956, 0.0047861094993524285, 0.002635998427672008, 0.014500508170764733, 0.013939905626334964, 0.0022989329084309755, 0.23894160296498032, 0.05122052234580747, 0.021501378212648484,102
0.014331065025393544, 0.007685317336251414, 0.0010159262045116011, 0.07448071947609018, 0.023028840059653628, -0.06521985462427607, 0.011938979618731948, 0.0037770278012515253, 0.0002460615290139926, 0.05128270545760046, 0.004786110357216171, 0.0026359981539630308, 0.014500509273286173, 0.013939910781073712, 0.0022989323256794817, 0.23894160103640305, 0.05122052962150561, 0.021501376630655895,102
0.014331061224086375, 0.007685324228486199, 0.0010159267791409613, 0.07448072236163931, 0.023028834792107187, -0.06521985801389091, 0.011938979928571548, 0.0037770238001288477, 0.0002460670091098539, 0.05128270993437964, 0.004786107895552224, 0.002635998602927401, 0.014500507712193045, 0.013939910472767587, 0.0022989302302146007, 0.238941599531481, 0.05122052555083906, 0.02150137924284034,102
0.014331060439890114, 0.007685316521171967, 0.001015925471767685, 0.07448072017480675, 0.023028835396443136, -0.0652198578883775, 0.01193898005311498, 0.0037770265797423498, 0.00024606325474582966, 0.0512827088015944, 0.004786109009122214, 0.0026359958025124444, 0.014500507927731424, 0.013939908788766516, 0.0022989317211893506, 0.23894160313741114, 0.05122052574248767, 0.021501373802250884,102
0.01433106311828265, 0.007685323367173806, 0.0010159282330133256, 0.0744807185901715, 0.023028836242268938, -0.06521985959370863, 0.011938981057284973, 0.003777029061364692, 0.00024606644035838693, 0.051282709312309153, 0.004786109407934045, 0.0026359972676340345, 0.014500509122876981, 0.013939908463038313, 0.002298931555398937, 0.23894160188875072, 0.05122052647746884, 0.021501375317711187,102
0.014331075797155327, 0.007685329092541847, 0.0010159562458606148, 0.07448072320174706, 0.02302885613265093, -0.06521986658405693, 0.011939022423008037, 0.0037769736000317126, 0.0002460922431265236, 0.05128271215699197, 0.004786134013126565, 0.002635996396000209, 0.01450049202528356, 0.013939924062662375, 0.0022989622745689746, 0.238941612435243, 0.051220528358396286, 0.02150136947515311,98
0.0143310579672046, 0.007685323133796797, 0.0010159437566102224, 0.0744807168099059, 0.02302883874905617, -0.06521981842437437, 0.011938985679009556, 0.0037770702129865286, 0.0002460521669448661, 0.05128266796608564, 0.0047860928369504, 0.002636003283437849, 0.014500474943282781, 0.013939875267209951, 0.0022989443385133005, 0.23894159142814025, 0.05122051314348256, 0.02150141548494515,102
0.014331027273993262, 0.007685305034760818, 0.0010159472677723454, 0.0744806977875338, 0.023028858030283945, -0.0652198052741708, 0.011939004332890498, 0.0037770433518566978, 0.0002460524519546302, 0.05128267764374931, 0.004786081184608924, 0.0026359852424070276, 0.014500499825625367, 0.013939931009520777, 0.0022989445898617417, 0.23894158577468538, 0.05122053777815576, 0.02150137489958323,102
0.014331039128648611, 0.007685354370527176, 0.0010159390507158538, 0.07448070293709524, 0.023028840202574428, -0.06521988936280178, 0.011938966269334267, 0.0037770418688901014, 0.0002460959097627576, 0.051282740773073786, 0.004786128181574545, 0.0026360234111114616, 0.01450053070500289, 0.013939863573836222, 0.0022989470213962693, 0.23894158452672065, 0.05122051721828254, 0.021501369763592838,98
0.014331082907754025, 0.007685319635692917, 0.0010159382923087678, 0.07448071332651744, 0.023028843844768512, -0.06521983193885834, 0.011938947469396586, 0.003777053036924385, 0.0002460954145690113, 0.05128267815512531, 0.004786071087712235, 0.0026359896970890614, 0.014500560164698854, 0.01393989044576791, 0.0022989532400766954, 0.2389416036484488, 0.051220528225994585, 0.02150138518851058,98
0.014331032674227308, 0.007685309106762702, 0.001015962301534201, 0.0744807128741309, 0.02302881554706418, -0.0652198438001685, 0.011938979809251484, 0.0037770378215014624, 0.0002460807813718357, 0.051282754119048646, 0.0047860823810649995, 0.0026359925071964664, 0.014500533933537205, 0.013939866753793433, 0.0022989255473395225, 0.23894160796990854, 0.05122053522053392, 0.021501402582800155,100
